id,CpuName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,GpuName,GpuMemorySize,GameResolution,GameSetting,GameName,FPS
13371,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,290.0
13372,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13373,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,300.0
13374,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 1060 6 GB 9Gbps,6000.0,1080,low,counterStrikeGlobalOffensive,320.0
13513,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,150.0
13514,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,160.0
13515,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,170.0
13516,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,200.0
13517,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,250.0
13518,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,250.0
13519,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,280.0
13520,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
13521,Intel Core i7-8700K,6,12,3700,NVIDIA GeForce GTX 970,4000.0,1080,low,counterStrikeGlobalOffensive,300.0
